Global frequency set at 1000000000000 ticks per second
504348000: system.mem_ctrl: Hit in Host Cache: 0x226b0
504388000: system.mem_ctrl: Hit in Host Cache: 0x226b8
504428000: system.mem_ctrl: Hit in Host Cache: 0x226b8
504468000: system.mem_ctrl: Hit in Host Cache: 0xb2f58
504508000: system.mem_ctrl: Hit in Host Cache: 0x226b8
504548000: system.mem_ctrl: Hit in Host Cache: 0x226c0
504588000: system.mem_ctrl: Hit in Host Cache: 0x226c0
504628000: system.mem_ctrl: Hit in Host Cache: 0x226c8
504668000: system.mem_ctrl: Hit in Host Cache: 0xb2cc0
504709000: system.mem_ctrl: Hit in Host Cache: 0x226c8
504749000: system.mem_ctrl: Hit in Host Cache: 0xb2f60
504789000: system.mem_ctrl: Hit in Host Cache: 0x226c8
504829000: system.mem_ctrl: Hit in Host Cache: 0x226d0
504869000: system.mem_ctrl: Hit in Host Cache: 0x226b0
504909000: system.mem_ctrl: Hit in Host Cache: 0x226b0
504949000: system.mem_ctrl: Hit in Host Cache: 0x226b8
504989000: system.mem_ctrl: Hit in Host Cache: 0x226b8
505029000: system.mem_ctrl: Hit in Host Cache: 0xb2f68
505069000: system.mem_ctrl: Hit in Host Cache: 0x226b8
505109000: system.mem_ctrl: Hit in Host Cache: 0x226c0
505149000: system.mem_ctrl: Hit in Host Cache: 0x226c0
505189000: system.mem_ctrl: Hit in Host Cache: 0x226c8
505229000: system.mem_ctrl: Hit in Host Cache: 0xb2d08
505270000: system.mem_ctrl: Hit in Host Cache: 0x226c8
505310000: system.mem_ctrl: Hit in Host Cache: 0xb2f70
505350000: system.mem_ctrl: Hit in Host Cache: 0x226c8
505390000: system.mem_ctrl: Hit in Host Cache: 0x226d0
505430000: system.mem_ctrl: Hit in Host Cache: 0x226b0
505470000: system.mem_ctrl: Hit in Host Cache: 0x226b0
505510000: system.mem_ctrl: Hit in Host Cache: 0x226b8
505550000: system.mem_ctrl: Hit in Host Cache: 0x226b8
505590000: system.mem_ctrl: Hit in Host Cache: 0xb2f78
505630000: system.mem_ctrl: Hit in Host Cache: 0x226b8
505670000: system.mem_ctrl: Hit in Host Cache: 0x226c0
505710000: system.mem_ctrl: Hit in Host Cache: 0x226c0
505750000: system.mem_ctrl: Hit in Host Cache: 0x226c8
505790000: system.mem_ctrl: Hit in Host Cache: 0xb2d18
505831000: system.mem_ctrl: Hit in Host Cache: 0x226c8
505871000: system.mem_ctrl: Hit in Host Cache: 0xb2f80
505911000: system.mem_ctrl: Hit in Host Cache: 0x226c8
505951000: system.mem_ctrl: Hit in Host Cache: 0x226d0
505991000: system.mem_ctrl: Hit in Host Cache: 0x226b0
506031000: system.mem_ctrl: Hit in Host Cache: 0x226b0
506071000: system.mem_ctrl: Hit in Host Cache: 0x226b8
506111000: system.mem_ctrl: Hit in Host Cache: 0x226b8
506151000: system.mem_ctrl: Hit in Host Cache: 0xb2f88
506191000: system.mem_ctrl: Hit in Host Cache: 0x226b8
506231000: system.mem_ctrl: Hit in Host Cache: 0x226c0
506271000: system.mem_ctrl: Hit in Host Cache: 0x226c0
506311000: system.mem_ctrl: Hit in Host Cache: 0x226c8
506351000: system.mem_ctrl: Hit in Host Cache: 0xb2d48
506392000: system.mem_ctrl: Hit in Host Cache: 0x226c8
506432000: system.mem_ctrl: Hit in Host Cache: 0xb2f90
506472000: system.mem_ctrl: Hit in Host Cache: 0x226c8
506512000: system.mem_ctrl: Hit in Host Cache: 0x226d0
506552000: system.mem_ctrl: Hit in Host Cache: 0x226b0
506592000: system.mem_ctrl: Hit in Host Cache: 0x226b0
506632000: system.mem_ctrl: Hit in Host Cache: 0x226b8
506672000: system.mem_ctrl: Hit in Host Cache: 0x226b8
506712000: system.mem_ctrl: Hit in Host Cache: 0xb2f98
506752000: system.mem_ctrl: Hit in Host Cache: 0x226b8
506792000: system.mem_ctrl: Hit in Host Cache: 0x226c0
506832000: system.mem_ctrl: Hit in Host Cache: 0x226c0
506872000: system.mem_ctrl: Hit in Host Cache: 0x226c8
506912000: system.mem_ctrl: Hit in Host Cache: 0xb2cc8
506953000: system.mem_ctrl: Hit in Host Cache: 0x226c8
506993000: system.mem_ctrl: Hit in Host Cache: 0xb2fa0
507033000: system.mem_ctrl: Hit in Host Cache: 0x226c8
507073000: system.mem_ctrl: Hit in Host Cache: 0x226d0
507113000: system.mem_ctrl: Hit in Host Cache: 0x226d0
507153000: system.mem_ctrl: Hit in Host Cache: 0x226d8
507193000: system.mem_ctrl: Hit in Host Cache: 0xb2c80
507233000: system.mem_ctrl: Hit in Host Cache: 0x226d8
507273000: system.mem_ctrl: Hit in Host Cache: 0xb2ce0
507313000: system.mem_ctrl: Hit in Host Cache: 0x226e0
507353000: system.mem_ctrl: Hit in Host Cache: 0xb2de8
507393000: system.mem_ctrl: Hit in Host Cache: 0x226e0
507433000: system.mem_ctrl: Hit in Host Cache: 0x226e8
507473000: system.mem_ctrl: Miss (Small Access): 0xab118
587614000: system.mem_ctrl: Hit in Host Cache: 0x226e8
587654000: system.mem_ctrl: Hit in Host Cache: 0x226f0
587694000: system.mem_ctrl: Hit in Host Cache: 0xb2d08
587734000: system.mem_ctrl: Hit in Host Cache: 0x226f0
587774000: system.mem_ctrl: Hit in Host Cache: 0x226f8
587814000: system.mem_ctrl: Hit in Dirty Area: 0xab10c
587955000: system.mem_ctrl: Hit in Host Cache: 0x226f8
587995000: system.mem_ctrl: Hit in Host Cache: 0xb2d18
588035000: system.mem_ctrl: Hit in Host Cache: 0x22700
588075000: system.mem_ctrl: Hit in Classify Area: 0xab6d8
588216000: system.mem_ctrl: Hit in Host Cache: 0x22700
